Feature,R2,RMSE,MAE,Correlation,P_value
PRPF31,-6.437301635742188e-05,0.36325069011824834,0.30866149067878723,-0.3868944,0.02167570571150938
OPLAH,-6.592273712158203e-05,0.4641357929136804,0.37376630306243896,-0.31573147,0.06465508865154426
YES1,-6.628036499023438e-05,0.5004585071174147,0.42182865738868713,-0.7479918,2.4067901072891777e-07
GANAB,-6.67572021484375e-05,0.5750181381847755,0.4380665719509125,0.46882632,0.004500163396683302
DDX28,-6.723403930664062e-05,0.4599908547684442,0.37008142471313477,-0.0036644484,0.9833317019850627
PDCD11,-6.747245788574219e-05,0.6098920389302248,0.5019962787628174,0.24258326,0.1602903514483705
BASP1,-6.794929504394531e-05,1.1388644911057515,0.9201269149780273,-0.019693837,0.9105936418108571
ABLIM3,-7.021427154541016e-05,0.6602052072282688,0.522591769695282,0.3720761,0.027736639169538453
DNAJA2,-7.081031799316406e-05,0.6161642646343755,0.47773024439811707,0.5929976,0.00017405283680742173
TRAPPC4,-7.140636444091797e-05,0.5235508468658969,0.43379929661750793,0.06007409,0.7317446590111096
SUGT1,-7.164478302001953e-05,0.8809478444672411,0.703626811504364,0.6672656,1.1979677264910418e-05
DOCK7,-7.236003875732422e-05,0.4269051199377914,0.3390739858150482,-0.10051667,0.5656116836272232
PES1,-7.259845733642578e-05,0.5655627316505952,0.4622260630130768,-0.19892146,0.25196508380695515
SLC12A4,-7.37905502319336e-05,0.45484422230933513,0.3653886020183563,0.32583007,0.056117274517232606
CENPV,-7.390975952148438e-05,1.1393653498422456,0.9539897441864014,-0.80610937,5.099184828802019e-09
DNAJC3,-7.402896881103516e-05,0.6479190914276315,0.5063815712928772,0.73970973,3.8326760431958395e-07
DHX16,-7.450580596923828e-05,0.3938766563402492,0.3329494595527649,0.13323867,0.4454424641897838
MYO1B,-7.474422454833984e-05,0.6091498423582649,0.48640304803848267,0.5912663,0.00018382617226849152
ENDOG,-7.49826431274414e-05,0.639865308498549,0.5320075750350952,-0.4907406,0.0027614101712535245
BUB1B,-7.510185241699219e-05,0.3837325076300824,0.3087279498577118,-0.0928871,0.5956126714870301
NUDT21,-7.534027099609375e-05,0.43758032265785374,0.3636474609375,-0.41241243,0.013818660233733522
MRPS17,-7.534027099609375e-05,0.5575754714567015,0.4609059989452362,-0.7541322,1.684909059391777e-07
MAD1L1,-7.593631744384766e-05,0.3602212396269101,0.2907522916793823,0.3009888,0.07891689129461657
